frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness,nvfp4ffn-w8a16_diverged,nvfp4ffn-w8a16_text_l2,nvfp4ffn-w8a16_text_maxabs,nvfp4ffn-w8a16_audio_l2,nvfp4ffn-w8a16_audio_maxabs,nvfp4ffn-w8a16_rms,nvfp4ffn-w8a16_click,nvfp4ffn-w8a16_centroid_hz,nvfp4ffn-w8a16_flatness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,58.8658,1.4766,78.8443,3.6250,,,,,0,81.2293,1.4531,51.4546,3.1250,,,,,0,301.0423,4.1250,173.7715,9.0000,,,,
3,0,64.7815,1.2266,62.0417,2.3984,,,,,0,37.0883,0.8125,47.8948,2.3125,,,,,0,152.8111,3.3750,155.8549,6.8125,,,,
4,0,90.3171,1.5938,99.2243,4.7344,,,,,0,40.8305,0.9688,60.9986,3.5000,,,,,0,131.6168,2.8594,166.1831,6.8438,,,,
5,0,122.1867,1.7188,79.6219,3.2500,,,,,0,29.1676,0.7500,55.4242,3.0000,,,,,0,96.3866,2.9531,143.7308,6.5625,,,,
6,0,102.6851,1.3750,72.7924,4.8750,,,,,0,32.4341,0.6875,51.6781,3.2500,,,,,0,88.0208,2.3594,135.1738,5.7812,,,,
7,0,96.4454,1.4062,63.8006,2.6250,,,,,0,29.9471,0.7656,52.3326,2.6250,,,,,0,109.8462,2.3477,136.2048,6.8750,,,,
8,0,93.5577,1.3906,58.0061,2.5312,,,,,0,24.5771,0.5625,40.6785,1.7773,,,,,0,145.8189,2.3750,148.5959,8.0000,,,,
9,0,110.0838,1.5312,59.6085,3.3125,,,,,0,24.5403,0.5938,42.6478,2.1250,,,,,0,106.7057,2.3125,133.5793,6.8750,,,,
10,0,102.4661,1.3750,51.6083,2.5000,,,,,0,30.6284,0.6719,43.8414,2.4375,,,,,0,170.1575,2.6094,117.5426,5.1562,,,,
11,0,62.0879,1.1094,52.4801,2.0000,,,,,0,33.9001,0.7422,38.1852,2.4375,,,,,0,157.1084,2.4219,110.3615,5.8750,,,,
12,0,47.1111,0.9688,47.8669,2.0938,,,,,0,24.4825,0.6875,43.6327,2.5000,,,,,0,106.4622,2.1562,99.2321,5.1562,,,,
13,0,64.0184,1.0156,50.5331,1.8125,,,,,0,29.4806,0.8125,40.2194,2.1250,,,,,0,75.6130,1.9141,107.7454,6.4062,,,,
