frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness,nvfp4ffn-w8a16_diverged,nvfp4ffn-w8a16_text_l2,nvfp4ffn-w8a16_text_maxabs,nvfp4ffn-w8a16_audio_l2,nvfp4ffn-w8a16_audio_maxabs,nvfp4ffn-w8a16_rms,nvfp4ffn-w8a16_click,nvfp4ffn-w8a16_centroid_hz,nvfp4ffn-w8a16_flatness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,58.8658,1.4766,79.6482,3.6250,,,,,0,81.2293,1.4531,51.6927,3.1250,,,,,0,301.0423,4.1250,169.3315,9.0000,,,,
3,0,48.2578,1.2578,72.3918,3.3750,,,,,0,51.3071,0.8906,46.9148,2.1875,,,,,0,179.8291,3.2812,150.2837,6.6875,,,,
4,0,59.4649,1.4375,84.4895,3.8594,,,,,0,31.7604,0.8125,72.3292,4.0000,,,,,0,167.0491,3.0156,163.0883,6.3672,,,,
5,0,69.4959,1.2500,67.5186,4.3438,,,,,0,53.5715,0.9219,71.7012,5.7500,,,,,0,74.2802,2.3750,140.3067,5.8267,,,,
6,0,53.9207,1.0938,56.9448,2.8750,,,,,0,25.7123,0.6250,57.6598,3.2500,,,,,0,121.4257,2.3760,124.2852,5.3438,,,,
7,0,59.9212,1.4062,77.5237,3.9766,,,,,0,37.3939,1.1719,58.3578,2.7500,,,,,0,104.9117,3.9688,138.6060,7.2500,,,,
8,0,41.1567,0.8750,41.1506,1.6250,,,,,0,29.2187,0.6875,26.2310,1.0000,,,,,0,96.6883,2.0000,76.0183,3.2188,,,,
9,0,36.6585,0.8750,28.8809,1.1719,,,,,0,22.6366,0.5625,19.1432,0.5938,,,,,0,67.9999,1.4219,42.6963,1.7500,,,,
10,0,43.8536,0.7656,30.8666,1.2422,,,,,0,28.6168,0.5312,19.6010,0.6250,,,,,0,59.8081,1.1562,57.9135,2.2722,,,,
11,0,53.4861,1.1562,29.8407,1.3750,,,,,0,27.5810,0.6875,31.1596,2.1719,,,,,0,94.1612,1.8438,64.6392,3.3594,,,,
12,0,46.5391,0.9375,33.1859,1.3125,,,,,0,25.3934,0.5312,18.8819,0.6250,,,,,0,34.2059,0.7812,57.6132,2.5469,,,,
13,0,60.4757,1.0625,25.6459,0.8750,,,,,0,28.7306,0.5781,18.7872,0.6465,,,,,0,40.0751,0.7734,49.9092,2.2188,,,,
