frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness,nvfp4ffn-w8a16_diverged,nvfp4ffn-w8a16_text_l2,nvfp4ffn-w8a16_text_maxabs,nvfp4ffn-w8a16_audio_l2,nvfp4ffn-w8a16_audio_maxabs,nvfp4ffn-w8a16_rms,nvfp4ffn-w8a16_click,nvfp4ffn-w8a16_centroid_hz,nvfp4ffn-w8a16_flatness
36,0,27.1610,0.7500,30.4055,1.1250,,,,,0,18.7566,0.6094,24.5218,0.8965,,,,,0,41.7161,0.9141,35.2449,1.2500,,,,
37,0,22.1179,0.6094,29.6396,1.0000,,,,,0,18.4264,0.5469,22.5801,0.7500,,,,,0,35.7901,1.0000,40.3940,1.8125,,,,
38,0,30.7303,0.7812,28.0237,1.2031,,,,,0,17.8318,0.4922,28.8398,1.4067,,,,,0,30.6811,0.8184,36.0994,1.1836,,,,
39,0,21.8008,0.5391,33.2326,1.7500,,,,,0,20.4011,0.5391,21.3096,0.8125,,,,,0,32.0330,0.8047,42.8419,1.8125,,,,
40,0,29.2783,0.6328,22.0211,0.9375,,,,,0,20.5074,0.5703,18.9580,0.9688,,,,,0,44.3201,0.9365,31.5996,1.7500,,,,
41,0,35.3949,0.7734,22.8358,1.0000,,,,,0,21.5759,0.6172,16.6312,0.8125,,,,,0,43.0278,0.8906,30.2144,1.8125,,,,
42,0,40.7177,0.8984,21.9815,0.8750,,,,,0,21.8777,0.6328,16.0299,0.8750,,,,,0,36.6942,0.8125,35.6539,1.9844,,,,
43,0,25.9604,0.7891,26.7469,1.1562,,,,,0,21.5902,0.6484,16.0301,0.8750,,,,,0,38.1065,0.7969,46.8168,2.6328,,,,
44,0,22.7256,0.6953,24.3198,1.1875,,,,,0,21.0517,0.6484,18.4546,1.5312,,,,,0,36.4401,0.8438,45.1927,2.4688,,,,
45,0,25.0396,0.6875,22.5063,1.1250,,,,,0,26.1488,0.6875,16.5042,1.0000,,,,,0,31.8075,0.7383,40.6620,2.2500,,,,
46,0,27.4014,0.7578,30.4112,1.7246,,,,,0,26.9800,0.7031,16.1803,1.2852,,,,,0,34.7840,0.7988,41.4060,2.0938,,,,
47,0,40.6261,0.9609,25.5983,1.4375,,,,,0,19.9997,0.6016,17.3306,1.1250,,,,,0,41.9223,0.8457,37.8097,2.1172,,,,
48,0,27.5192,0.7266,26.2949,1.7500,,,,,0,20.5292,0.6016,20.0836,1.0156,,,,,0,33.9787,0.7656,40.5054,1.9775,,,,
49,0,22.0780,0.7031,25.2010,1.1250,,,,,0,21.0263,0.6406,18.4157,0.7656,,,,,0,45.3216,0.8906,32.5445,1.9688,,,,
50,0,24.6534,0.7109,23.1883,1.6875,,,,,0,22.4621,0.6562,16.1603,0.7500,,,,,0,40.5675,0.8984,36.0464,1.5859,,,,
51,0,48.6518,1.0547,27.2332,1.3125,,,,,0,21.3398,0.6016,20.4953,1.1250,,,,,0,49.2629,0.9355,78.0544,4.3750,,,,
52,0,24.1416,0.6914,22.0702,1.4375,,,,,0,20.0191,0.5820,14.9029,0.6406,,,,,0,54.3288,1.0078,36.9665,2.4375,,,,
53,0,33.6684,0.8672,24.5044,1.3125,,,,,0,20.3695,0.5859,14.6374,0.6875,,,,,0,58.7524,0.9980,41.6240,3.0000,,,,
54,0,26.5757,0.7188,21.0665,0.7500,,,,,0,25.1805,0.6562,15.4871,0.6562,,,,,0,54.3593,1.0273,48.5040,3.0625,,,,
55,0,29.0771,0.7695,25.9577,1.1250,,,,,0,23.7694,0.6641,16.0394,0.6250,,,,,0,52.4032,0.8984,41.9116,1.8750,,,,
56,0,28.0447,0.7031,27.0398,1.9375,,,,,0,20.8143,0.5879,16.7031,0.6250,,,,,0,51.3895,0.9062,36.8216,1.8750,,,,
57,0,34.6560,0.7520,26.7667,1.3750,,,,,0,21.9944,0.6113,15.3708,0.5938,,,,,0,51.0064,0.9297,31.3869,1.2617,,,,
58,0,28.4175,0.7695,24.5815,1.6250,,,,,0,30.2799,0.7156,14.6868,0.6250,,,,,0,43.9296,0.9219,35.8326,1.8125,,,,
59,0,26.2429,0.7578,24.2789,1.2500,,,,,0,27.2593,0.6680,17.2796,0.8750,,,,,0,51.6705,0.9385,36.4485,2.2500,,,,
60,0,23.2503,0.6875,26.9969,1.1836,,,,,0,28.1348,0.6689,17.7121,1.2500,,,,,0,41.2480,0.8594,37.0353,2.6250,,,,
