frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,1,55.5987,1.4531,139.8085,5.7500,0.00072,0.01130,103.2,0.00094,1,73.9631,1.3750,279.7880,14.5859,0.00071,0.01130,79.8,0.00075
3,1,,,,,0.00022,0.00000,3.9,0.00009,1,,,,,0.00022,0.00000,4.1,0.00009
4,1,,,,,0.00022,0.00000,20.8,0.00121,1,,,,,0.00022,0.00000,21.0,0.00128
5,1,,,,,0.00022,0.00000,9.9,0.00055,1,,,,,0.00022,0.00000,10.0,0.00054
6,1,,,,,0.00022,0.00000,9.0,0.00050,1,,,,,0.00022,0.00000,3.2,0.00005
7,1,,,,,0.00022,0.00000,3.1,0.00005,1,,,,,0.00022,0.00000,3.1,0.00004
8,1,,,,,0.00100,0.00000,814.8,0.00167,1,,,,,0.00022,0.00000,3.2,0.00004
9,1,,,,,0.05792,0.00075,832.0,0.00003,1,,,,,0.00022,0.00000,3.1,0.00004
10,1,,,,,0.08165,0.03384,505.9,0.00003,1,,,,,0.00022,0.00000,3.2,0.00004
11,1,,,,,0.03433,0.00390,266.7,0.00000,1,,,,,0.00022,0.00000,3.1,0.00004
12,1,,,,,0.05136,0.00218,554.2,0.00007,1,,,,,0.04142,0.00000,542.8,0.00002
13,1,,,,,0.04729,0.00577,906.3,0.00003,1,,,,,0.08931,0.00780,502.9,0.00002
14,1,,,,,0.02902,0.00340,798.0,0.00001,1,,,,,0.10930,0.03683,514.3,0.00003
15,1,,,,,0.00948,0.01027,438.6,0.00002,1,,,,,0.06538,0.00643,450.0,0.00001
16,1,,,,,0.00050,0.00061,316.8,0.00024,1,,,,,0.01462,0.00186,271.6,0.00000
17,1,,,,,0.00059,0.00000,277.4,0.00164,1,,,,,0.00901,0.00067,303.6,0.00002
18,1,,,,,0.05626,0.00137,726.0,0.00002,1,,,,,0.01659,0.00023,367.4,0.00014
19,1,,,,,0.03769,0.03745,461.7,0.00000,1,,,,,0.02870,0.00258,380.8,0.00001
20,1,,,,,0.04178,0.00011,489.6,0.00001,1,,,,,0.02912,0.00223,307.3,0.00000
21,1,,,,,0.06373,0.00123,388.8,0.00000,1,,,,,0.01849,0.00680,401.7,0.00189
22,1,,,,,0.06953,0.00842,439.4,0.00007,1,,,,,0.05009,0.00040,478.1,0.00001
23,1,,,,,0.05003,0.00116,348.4,0.00002,1,,,,,0.04823,0.00214,439.0,0.00001
