frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,1,55.5987,1.4531,292.0015,17.3438,0.00072,0.01129,63.0,0.00035,1,73.9631,1.3750,259.7991,14.5938,0.00071,0.01130,79.8,0.00075
3,1,,,,,0.00022,0.00000,3.3,0.00005,1,,,,,0.00022,0.00001,7.7,0.00033
4,1,,,,,0.02366,0.00000,538.9,0.00001,1,,,,,0.00022,0.00000,3.2,0.00004
5,1,,,,,0.03072,0.00089,704.2,0.00001,1,,,,,0.00022,0.00000,3.2,0.00004
6,1,,,,,0.01730,0.00249,594.9,0.00001,1,,,,,0.00022,0.00000,3.2,0.00004
7,1,,,,,0.01735,0.00112,511.2,0.00000,1,,,,,0.00022,0.00000,3.3,0.00004
8,1,,,,,0.01000,0.00165,370.7,0.00000,1,,,,,0.00022,0.00000,3.3,0.00004
9,1,,,,,0.00399,0.00022,230.5,0.00000,1,,,,,0.00022,0.00000,3.2,0.00004
10,1,,,,,0.00021,0.00001,3.1,0.00004,1,,,,,0.00053,0.00000,4.4,0.00009
11,1,,,,,0.00220,0.00000,151.5,0.00008,1,,,,,0.04141,0.00017,555.9,0.00001
12,1,,,,,0.02034,0.00011,418.9,0.00000,1,,,,,0.07082,0.00884,613.5,0.00004
13,1,,,,,0.00169,0.00009,5789.8,0.13341,1,,,,,0.05261,0.01708,707.3,0.00006
14,1,,,,,0.00242,0.00279,6533.3,0.16202,1,,,,,0.04754,0.00717,588.1,0.00002
15,1,,,,,0.01625,0.00000,623.6,0.00019,1,,,,,0.01787,0.00153,468.6,0.00000
16,1,,,,,0.01841,0.00269,700.5,0.00002,1,,,,,0.00417,0.00116,206.8,0.00000
17,1,,,,,0.01230,0.00178,772.5,0.00008,1,,,,,0.00022,0.00001,3.3,0.00004
18,1,,,,,0.01526,0.00116,387.3,0.00001,1,,,,,0.00022,0.00000,3.3,0.00004
19,1,,,,,0.02232,0.00324,539.5,0.00001,1,,,,,0.00433,0.00000,755.5,0.00013
20,1,,,,,0.02103,0.00505,562.9,0.00001,1,,,,,0.07367,0.00331,696.0,0.00000
21,1,,,,,0.01672,0.00353,549.6,0.00002,1,,,,,0.06779,0.01952,555.9,0.00000
22,1,,,,,0.01498,0.00183,547.4,0.00018,1,,,,,0.02118,0.00670,345.5,0.00001
23,1,,,,,0.00924,0.00052,246.8,0.00001,1,,,,,0.02104,0.00030,340.5,0.00001
