frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,1,55.5987,1.4531,254.3378,15.5625,0.00072,0.01129,83.3,0.00107,1,73.9631,1.3750,241.5483,12.6875,0.00072,0.01130,86.7,0.00086
3,1,,,,,0.00022,0.00001,3.8,0.00009,1,,,,,0.00022,0.00000,3.1,0.00004
4,1,,,,,0.00022,0.00000,3.5,0.00008,1,,,,,0.00022,0.00000,4.4,0.00013
5,1,,,,,0.00022,0.00000,3.2,0.00005,1,,,,,0.00022,0.00000,3.0,0.00004
6,1,,,,,0.00022,0.00000,3.1,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
7,1,,,,,0.00022,0.00001,3.1,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
8,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
9,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
10,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
11,1,,,,,0.00022,0.00000,3.1,0.00003,1,,,,,0.00022,0.00000,3.2,0.00004
12,1,,,,,0.00022,0.00000,3.2,0.00003,1,,,,,0.00022,0.00000,3.2,0.00004
13,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
14,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
15,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
16,1,,,,,0.00022,0.00000,3.2,0.00003,1,,,,,0.00022,0.00000,3.3,0.00004
17,1,,,,,0.00022,0.00000,3.1,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
18,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
19,1,,,,,0.00066,0.00000,10.4,0.00010,1,,,,,0.00099,0.00000,28.9,0.00011
20,1,,,,,0.05338,0.00122,503.3,0.00001,1,,,,,0.08846,0.00048,462.3,0.00001
21,1,,,,,0.06861,0.00869,638.2,0.00003,1,,,,,0.16786,0.00073,527.0,0.00003
22,1,,,,,0.06100,0.00059,592.5,0.00000,1,,,,,0.09053,0.03132,453.6,0.00001
23,1,,,,,0.05411,0.00023,504.8,0.00000,1,,,,,0.02117,0.00133,326.2,0.00000
